name,fullname,color
center-for-family-justice,The Center For Family Justice,#ecc6ec
chrysalis,Chrysalis Domestic Violence Services,#a4dd88
domestic-abuse-services,Domestic Abuse Services-Greenwich YWCA,#ffa31a
dvcc-norwalk,"Domestic Violence Crisis Center- Norwalk, CT",#b3d9ff
dvcc-stamford,"Domestic Violence Crisis Center-Stamford, CT",#1a53ff
interval-house,Interval House,#ffff00
new-horizons,New Horizons,#00aaff
prudence-crandall,Prudence Crandall Center,#cca1f7
safe-futures,Safe Futures,#e6ccff
safe-haven,Safe Haven of Greater Waterbury,#dfbf9f
sba-project,Susan B. Anthony Project,#ff4d88
the-network,The Network,#b3f0ff
umbrella-ansonia,"The Umbrella Center For Domestic Violence Services-Ansonia, CT",#4d94ff
umbrella-north-haven,"The Umbrella Center For Domestic Violence Services-North Haven, CT",#e6ffb3
united-services-dayville,"Domestic Violence Program/United Services Inc.-Dayville, CT",#b366ff
united-services-willimantic,"Domestic Violence Program/United Services Inc.- Willimantic, CT",#ffa64d
womens-center,Womens Center,#009900
womens-support-services,Womens Support Services,#66d9ff
